league,team,Team,City,Stadium, Capacity ,Latitude,Longitude,Country,geometry
Bundesliga1,M'gladbach,Borussia M神nchengladbach ,M神nchengladbach ,Borussia-Park ,54010,51.1746,6.3855,Germany,POINT (6.3855 51.1746)
Bundesliga1,Mainz,1. FSV Mainz 05 ,Mainz ,Coface Arena ,34000,49.9842,8.2242,Germany,POINT (8.2242 49.9842)
Bundesliga1,Stuttgart,VfB Stuttgart ,Stuttgart ,Mercedes-Benz Arena ,60441,48.7923,9.232,Germany,POINT (9.232000000000001 48.7923)
Bundesliga1,Aachen,,,,"32,960",50.793333,6.097222,,POINT (6.097222 50.793333)
Bundesliga1,Cottbus,,,,"22,528",51.751389,14.345556,,POINT (14.345556 51.751389)
Bundesliga1,Bochum,,,,"29,299",51.489881,7.236544,,POINT (7.236544 51.489881)
Bundesliga1,Karlsruhe,,,,"29,699",49.02,8.413056,,POINT (8.413055999999999 49.02)
Bundesliga1,Hansa Rostock,,,,"29,000",54.08495,12.095189,,POINT (12.095189 54.08495)
Bundesliga1,Hoffenheim,TSG 1899 Hoffenheim ,Sinsheim ,Rhein-Neckar Arena ,30150,49.239,8.8883,Germany,POINT (8.888299999999999 49.239)
Bundesliga1,Freiburg,SC Freiburg ,Freiburg ,MAGE SOLAR Stadion ,24000,47.9889,7.8931,Germany,POINT (7.8931 47.9889)
Bundesliga1,St Pauli,FC St. Pauli ,Hamburg ,Millerntor-Stadion ,24487,53.5544,9.9678,Germany,POINT (9.9678 53.5544)
Bundesliga1,Augsburg,FC Augsburg ,Augsburg ,SGL arena ,30660,48.3225,10.8822,Germany,POINT (10.8822 48.3225)
Bundesliga1,Greuther Furth,SpVgg Greuther F神rth ,F神rth ,Trolli Arena ,18000,49.4869,10.9992,Germany,POINT (10.9992 49.4869)
Bundesliga1,Fortuna Dusseldorf,Fortuna D神sseldorf ,D神sseldorf ,Esprit Arena ,54600,51.2617,6.7331,Germany,POINT (6.7331 51.2617)
Bundesliga1,Braunschweig,Eintracht Braunschweig ,Braunschweig ,Eintracht-Stadion ,23325,52.29,10.5217,Germany,POINT (10.5217 52.29)
Bundesliga1,Paderborn,,,,"15,300",51.730722,8.711056,,POINT (8.711055999999999 51.730722)
Bundesliga1,Darmstadt,,,,"17,000",49.857778,8.672222,,POINT (8.672222 49.857778)
Bundesliga1,Ingolstadt,,,,"15,800",48.745461,11.485511,,POINT (11.485511 48.745461)
Bundesliga1,RB Leipzig,,,,"42,959",51.345794,12.348219,,POINT (12.348219 51.345794)
Championnat,Paris SG,Paris Saint-Germain ,Paris ,Parc des Princes ,48712,48.8414,2.2531,France,POINT (2.2531 48.8414)
Championnat,Strasbourg,,,,"27,500",48.560064,7.754969,,POINT (7.754969 48.560064)
Championnat,St Etienne,Saint-神tienne ,Saint-神tienne ,Stade Geoffroy-Guichard,26747,45.4608,4.3903,France,POINT (4.3903 45.4608)
Championnat,Sochaux,Sochaux ,Montb姓liard ,Stade Auguste Bonal ,20005,47.5124,6.8112,France,POINT (6.8112 47.5124)
Championnat,Nantes,Nantes ,Nantes ,Stade de la Beaujoire ,38285,47.2556,-1.5254,France,POINT (-1.5254 47.2556)
Championnat,Nancy,Nancy,Tomblaine ,Stade Marcel Picot ,20085,48.6955,6.2107,France,POINT (6.2107 48.6955)
Championnat,Marseille,Marseille ,Marseille ,Stade Velodrome,48000,43.2697,5.3958,France,POINT (5.3958 43.2697)
Championnat,Lille,Lille ,Villeneuve-d'Ascq ,Stade Pierre-Mauroy ,50186,50.6119,3.1304,France,POINT (3.1304 50.6119)
Championnat,Nice,Nice ,Nice ,Allianz Riviera ,35624,43.7233,7.2588,France,POINT (7.2588 43.7233)
Championnat,Le Mans,,,,"25,000",47.959094,0.223374,,POINT (0.223374 47.959094)
Championnat,Troyes,Troyes ,Troyes,Stade de l'Aube ,21877,48.3076,4.0985,France,POINT (4.0985 48.3076)
Championnat,Toulouse,Toulouse ,Toulouse ,Stadium Municipal,35470,43.5831,1.4342,France,POINT (1.4342 43.5831)
Championnat,Monaco,AS Monaco ,Monaco ,Stade Louis II ,18500,43.7276,7.4156,France,POINT (7.4156 43.7276)
Championnat,Metz,,,,"25,636",49.109813,6.159511,,POINT (6.159511 49.109813)
Championnat,Lens,,,,"38,223",50.432778,2.815,,POINT (2.815 50.43277800000001)
Championnat,Bordeaux,Bordeaux ,Bordeaux ,Stade Chaban-Delmas ,34462,44.8292,-0.5978,France,POINT (-0.5978 44.8292)
Championnat,Ajaccio,Ajaccio ,Ajaccio ,Stade Fran神ois Coty ,10660,41.9311,8.7767,France,POINT (8.7767 41.9311)
Championnat,Lyon,Lyon ,Lyon ,Stade de Gerland ,41842,45.7239,4.8322,France,POINT (4.8322 45.7239)
Championnat,Rennes,Rennes ,Rennes ,Stade de la Route de Lorient ,31127,48.1075,-1.7128,France,POINT (-1.7128 48.1075)
Championnat,Auxerre,Auxerre ,Auxerre ,Stade de l'Abb姓-Deschamps ,24493,47.7868,3.5887,France,POINT (3.5887 47.7868)
Championnat,Sedan,,,,"24,389",49.694147,4.938847,,POINT (4.938847 49.69414699999999)
Championnat,Valenciennes,Valenciennes ,Valenciennes ,Stade du Hainaut ,25172,50.3481,3.533,France,POINT (3.533 50.3481)
Championnat,Lorient,Lorient ,Lorient ,Stade du Moustoir ,18890,47.7487,-3.3694,France,POINT (-3.3694 47.7487)
Championnat,Caen,Caen,Caen ,Stade Michel d'Ornano ,21500,49.1795,-0.3968,France,POINT (-0.3968 49.1795)
Championnat,Le Havre,,,,"25,178",49.4987,0.1698,,POINT (0.1698 49.4987)
Championnat,Grenoble,,,,"20,068",45.187428,5.740099,,POINT (5.740099 45.187428)
Championnat,Montpellier,Montpellier ,Montpellier ,Stade de la Mosson ,32939,43.6222,3.8119,France,POINT (3.8119 43.6222)
Championnat,Boulogne,,,,"15,004",50.723742,1.619411,,POINT (1.619411 50.723742)
Championnat,Arles,,,,"17,518",43.928333,4.845,,POINT (4.845 43.928333)
Championnat,Brest,Brest,Brest,Stade Francis-Le Bl姓 ,16000,48.4029,-4.4617,France,POINT (-4.4617 48.4029)
Championnat,Dijon,Dijon,Dijon,Stade Gaston G姓rard ,15998,47.3244,5.0683,France,POINT (5.0683 47.3244)
Championnat,Evian Thonon Gaillard,神vian ,Annecy ,Parc des Sports ,15660,45.9165,6.1181,France,POINT (6.1181 45.9165)
Championnat,Reims,Reims ,Reims ,Stade Auguste-Delaune II ,21684,49.2467,4.025,France,POINT (4.025 49.2467)
Championnat,Bastia,Bastia ,Bastia ,Stade Armand Cesari ,16480,42.6514,9.4426,France,POINT (9.442600000000001 42.6514)
Championnat,Guingamp,Guingamp ,Guingamp ,Stade du Roudourou ,18126,48.5663,-3.1646,France,POINT (-3.1646 48.5663)
Championnat,Angers,,,,"17,518",43.928333,4.845,,POINT (4.845 43.928333)
Championnat,Ajaccio GFCO,,,,"18,000",47.460458,-0.530741,,POINT (-0.530741 47.460458)
Championnat,Nimes,,,,"18,482",43.815972,4.359278,France,POINT(4.359278 43.815972)
Championnat,Amiens,,,,"12,097",49.894209,2.263312,France,POINT(2.263312 49.894209)
